DateTime,Temperatur,Luftfugtighed,Middelvindhastighed,Højeste vindstød,Nedbør,Sigtbarhed
3/5/2025 5:00,5,74,"5,3","8,3",0,22000
3/5/2025 6:00,"5,2",72,"6,7","11,1",0,22000
3/5/2025 7:00,"4,9",74,"6,2","9,5",0,17000
3/5/2025 8:00,"5,3",75,"5,9","10,1",0,15000
3/5/2025 9:00,"6,1",73,"6,2","9,8",0,16000
3/5/2025 10:00,7,73,"7,1","10,9",0,16000
3/5/2025 11:00,"8,2",71,"6,3","9,5",0,18000
3/5/2025 12:00,"9,8",69,"7,7","12,6",0,21000
3/5/2025 13:00,"10,8",69,"7,4","12,4",0,21000
3/5/2025 14:00,"11,2",68,8,"12,8",0,22000
3/5/2025 15:00,"11,2",70,"7,4","12,5",0,26000
3/5/2025 16:00,11,73,"8,5","14,2",0,35000
3/5/2025 17:00,"10,3",72,"8,1","13,8",0,26000
3/5/2025 18:00,9,71,"6,1","11,7",0,30000
3/5/2025 19:00,"7,2",73,6,"10,6",0,24000
3/5/2025 20:00,"6,1",68,"6,7","12,1",0,21000
3/5/2025 21:00,"5,9",66,"4,8","8,3",0,23000
3/5/2025 22:00,"5,9",65,"4,6","7,3",0,26000
3/5/2025 23:00,"5,5",67,"4,6","6,9",0,24000
3/6/2025 0:00,"5,4",69,"5,3","8,6",0,23000
3/6/2025 1:00,"5,1",72,"4,5","7,7",0,17000
3/6/2025 2:00,"4,9",75,"4,2","7,1",0,16000
3/6/2025 3:00,"4,7",77,"4,4","6,7",0,16000
3/6/2025 4:00,"4,3",80,"4,3","8,6",0,13000
3/6/2025 5:00,4,81,"3,1","5,1",0,12000
3/6/2025 6:00,"3,8",83,"3,6","4,6",0,11000
3/6/2025 7:00,"3,4",84,"2,6","4,5",0,10000
3/6/2025 8:00,"3,8",83,"2,9","4,4",0,10000
3/6/2025 9:00,"5,9",78,"3,1","4,5",0,10000
3/6/2025 10:00,"7,4",72,5,"7,8",0,11000
3/6/2025 11:00,"9,4",63,"4,3","6,6",0,13000
3/6/2025 12:00,"11,6",52,"4,3","6,5",0,18000
3/6/2025 13:00,"12,7",49,"6,2","9,3",0,20000
