,dataset,horizon,mae,mae,rmse,rmse,smape,smape
,,,mean,std,mean,std,mean,std
0,carbon,5,7.762,8.037,9.381,9.872,22.19,12.687
1,carbon,50,29.259,5.04,34.766,5.516,33.572,8.201
2,weather,5,3.333,1.792,3.667,1.897,72.143,42.282
3,weather,50,4.253,1.478,5.125,1.616,77.745,12.466
