,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,MSIS,num_masked_target_values,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.2],Coverage[0.2],QuantileLoss[0.3],Coverage[0.3],QuantileLoss[0.4],Coverage[0.4],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.6],Coverage[0.6],QuantileLoss[0.7],Coverage[0.7],QuantileLoss[0.8],Coverage[0.8],QuantileLoss[0.9],Coverage[0.9],RMSE,NRMSE,ND,wQuantileLoss[0.1],wQuantileLoss[0.2],wQuantileLoss[0.3],wQuantileLoss[0.4],wQuantileLoss[0.5],wQuantileLoss[0.6],wQuantileLoss[0.7],wQuantileLoss[0.8],wQuantileLoss[0.9],mean_absolute_QuantileLoss,mean_wQuantileLoss,MAE_Coverage,OWA,dataset,test_size,horizon,context_length,rope_scaling,iter,mae,mse,rmse,smape
0,2.017749786376953,6.644255638122559,5.600000381469727,1.1200000762939453,2.1947295761637484,0.6054737413013138,2.648933219909668,1.3439483642578125,2.3648358793544344,0.0,0.4771922200918198,0.0,2.2614320755004886,0.8,4.559725964069366,0.8,6.048261070251464,0.8,6.644255995750427,1.0,6.467298793792725,1.0,5.961480689048769,1.0,4.820268964767456,1.0,2.953234386444091,1.0,1.4204751973818315,1.268281339838968,1.1864741402711774,0.0852128906403003,0.4038271288308329,0.814236723832626,1.0800465461154292,1.1864742041332923,1.1548747059362476,1.0645500505277057,0.8607622565022702,0.5273632473698173,4.465905573301845,0.7974830837653912,0.5,,weather,small,5,32,True,,,,,
1,2.8062793731689455,7.835989952087402,5.600000381469727,1.1200000762939453,2.1947295761637484,0.7140733908351686,3.057847595214844,1.3933731079101563,3.3618746664068504,0.0,0.5963004708290099,0.0,2.550721144676209,0.6,4.777790749073029,0.8,6.939565086364746,1.0,7.835989832878113,1.0,7.898753833770753,1.0,7.261427235603334,1.0,6.071990585327147,1.0,3.8382791519165034,1.0,1.6751953238858284,1.4957100087251882,1.3992838246969614,0.1064822196802262,0.4554858876646664,0.8531768613592652,1.239207966722218,1.3992838034095898,1.4104916599483723,1.2966833465996235,1.0842839592331504,0.6854069447240185,5.307868676715427,0.94783362770457,0.5,,weather,small,5,64,True,,,,,
2,4.408465576171875,11.267290115356445,5.600000381469727,1.1200000762939453,2.1947295761637484,1.0267588533664336,4.515756988525391,1.4226049423217773,4.795830757255581,0.0,1.340064251422882,0.0,2.334823560714722,0.6,5.974139070510864,0.8,9.028466176986694,1.0,11.267290234565735,1.0,11.571341514587404,1.0,10.077866506576541,1.0,8.224444198608396,1.0,5.088456058502196,1.0,2.0996346292085857,1.8746736483770865,2.012015954970227,0.2392971714532599,0.4169327502977678,1.066810475634815,1.612225993209158,2.012015976257598,2.066310843991495,1.7996188964422166,1.4686506497076133,0.9086528056926176,7.211876841386159,1.2878350625207269,0.5,,weather,small,5,128,True,,,,,
3,6.906180572509766,14.234722137451172,5.600000381469727,1.1200000762939453,2.1947295761637484,1.2971732182451914,5.158189392089843,1.5035894393920899,5.350611006300151,0.0,1.2306411266326904,0.0,3.4583153247833254,0.6,8.660541343688964,1.0,12.099726247787476,1.0,14.23472261428833,1.0,13.587059593200683,1.0,12.029980945587159,1.0,9.755513381958005,1.0,5.91626453399658,1.0,2.6279612958545955,2.346393854320492,2.5419144942478114,0.2197573290717718,0.6175562659293402,1.5465251345957935,2.1606652542069806,2.5419145793972984,2.4262604763671005,2.148210736805321,1.7420558423957928,1.056475737675548,8.996973901324802,1.6066023729383272,0.5,,weather,small,5,256,True,,,,,
4,10.853081512451173,15.46168327331543,5.600000381469727,1.1200000762939453,2.1947295761637484,1.4089829964693414,5.672126007080078,1.5307346343994142,5.224587774524164,0.0,2.468421638011933,0.6,10.066263675689699,0.8,14.042442727088927,1.0,15.307673835754393,1.0,15.461682081222534,1.0,14.416391181945803,1.0,13.203296756744386,1.0,10.374742317199704,1.0,6.383413696289061,1.0,3.2944015408646186,2.941429746831552,2.761014682155699,0.4407895481900115,1.7975469624964198,2.507578887593481,2.7335129987503457,2.761014469281982,2.5743553928405634,2.3577314030966487,1.8526324304422352,1.1398952252595609,11.30270310110516,2.018339701994583,0.5,,weather,small,5,512,True,,,,,
5,2.185146713256836,6.42608642578125,5.600000381469727,1.1200000762939453,2.1947295761637484,0.5855925482185055,2.525666618347168,1.3565711975097656,2.303240655187552,0.0,0.5014770120382309,0.2,3.6327540397644045,0.8,5.7322745442390435,0.8,6.359401607513428,0.8,6.426086068153381,1.0,6.294884014129639,1.0,5.645682406425476,1.0,4.593169927597046,1.0,2.956096363067626,1.0,1.4782241755758279,1.319842923999825,1.147515355006943,0.0895494603353255,0.6487060343397663,1.0236203845997955,1.1356073525560004,1.147515291144828,1.1240863545222723,1.008157503900698,0.8202088597700351,0.5278743145892063,4.682425109214253,0.8361472839731031,0.5,,weather,small,5,32,False,,,,,
6,1.408544921875,6.038661003112793,5.600000381469727,1.1200000762939453,2.1947295761637484,0.5502874767531041,2.489039993286133,1.3260518074035645,6.391449130569178,0.0,3.5501267433166506,0.0,3.264715194702149,0.0,1.6962709307670591,0.0,4.567101311683655,0.8,6.038661003112793,0.8,7.809099102020264,1.0,8.121703648567202,1.0,6.889206600189207,1.0,4.521287631988524,1.0,1.186821352131398,1.0596618493621561,1.0783322485288722,0.6339511609791919,0.5829848164841233,0.3029055027174607,0.8155537501026051,1.0783322485288722,1.3944818875120786,1.4503041241643007,1.230215380517729,0.8073727364286191,5.162019129594167,0.9217890674927757,0.5,,weather,small,5,64,False,,,,,
7,1.1714865684509277,9.46004581451416,5.600000381469727,1.1200000762939453,2.1947295761637484,0.8620693790484871,3.9923385620117187,1.4150129318237306,9.58780428478053,0.0,5.803106117248536,0.0,4.742571997642518,0.0,2.7978087067604065,0.2,4.795135593414307,0.8,9.46004569530487,1.0,10.342018127441408,1.0,10.478389835357667,1.0,8.360917472839354,1.0,5.151544857025145,1.0,1.0823523310137635,0.9663859440038992,1.6892937803749506,1.0362688789184518,0.8468877990322251,0.49960866360264755,0.8562741547806499,1.689293759087579,1.8467888255263178,1.8711409145667954,1.493020875588766,0.9199186618042902,6.881282044781579,1.2288002814341916,0.5,,weather,small,5,128,False,,,,,
8,8.361730194091797,17.4993896484375,5.600000381469727,1.1200000762939453,2.1947295761637484,1.5946738804172267,6.8969482421875,1.5246536254882812,7.89737891730639,0.0,1.148125657439232,0.0,6.366229104995728,0.6,13.076387238502502,0.8,16.80793218612671,1.0,17.49938941001892,1.0,16.488262557983397,1.0,14.199863433837892,1.0,11.280704498291014,1.0,6.851059436798094,1.0,2.891665643550754,2.5818441487247124,3.1248907957832612,0.20502242486238995,1.1368265484519313,2.335068990668638,3.001416257353084,3.124890753208518,2.9443323990731645,2.535689726169469,2.0144113803310812,1.2234033875190604,11.524217058221499,2.0578957630708152,0.5,,weather,small,5,256,False,,,,,
9,15.57144775390625,18.28424644470215,5.600000381469727,1.1200000762939453,2.1947295761637484,1.6661958396406977,6.848200988769531,1.5211554527282716,6.664381505861944,0.0,3.8395897537469867,0.6,13.934479999542237,0.8,16.207368397712706,0.8,17.90732259750366,1.0,18.284247398376465,1.0,17.009118461608885,1.0,14.987462997436523,1.0,12.445140266418454,1.0,7.610416412353514,1.0,3.946067378277549,3.5232742048866603,3.2650437855690693,0.6856409807492339,2.4882998304162824,2.8941727310131116,3.1977359602971784,3.265043955868043,3.0373423755276288,2.6763324958029817,2.222346324760823,1.3590028382026915,13.580571809411047,2.4251019436264416,0.5,,weather,small,5,512,False,,,,,
