dataset,test_size,horizon,order,seasonal_order,iter,mae,mse,rmse,smape
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",43,4.654,29.313,5.414,63.029
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",44,5.264,35.735,5.978,69.554
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",45,4.061,22.416,4.735,59.879
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",46,4.763,29.121,5.396,69.253
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",47,4.508,26.058,5.105,69.52
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",48,3.853,19.67,4.435,65.8
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",49,3.239,14.482,3.806,62.567
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",50,3.337,14.957,3.867,66.585
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",51,4.523,25.318,5.032,78.273
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",52,7.074,57.924,7.611,96.387
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",53,7.217,59.082,7.686,98.391
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",54,6.965,54.371,7.374,97.392
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",55,3.785,18.177,4.263,72.478
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",56,2.305,7.601,2.757,58.915
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",57,2.142,6.572,2.564,57.856
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",58,1.827,4.894,2.212,58.163
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",59,2.102,6.185,2.487,58.081
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",60,1.403,2.684,1.638,63.958
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",61,1.403,2.839,1.685,59.992
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",62,1.475,3.1,1.761,60.75
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",63,1.587,3.561,1.887,63.057
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",64,1.637,3.744,1.935,63.27
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",65,2.126,6.711,2.591,76.965
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",66,1.713,3.996,1.999,66.224
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",67,1.664,3.911,1.978,60.721
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",68,1.681,3.883,1.971,62.895
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",69,1.811,4.698,2.167,56.542
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",70,2.058,6.31,2.512,57.159
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",71,2.193,7.275,2.697,58.43
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",72,2.521,9.429,3.071,62.705
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",73,2.595,9.81,3.132,64.241
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",74,2.689,10.21,3.195,66.448
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",75,1.846,5.157,2.271,53.485
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",76,1.961,5.224,2.286,81.863
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",77,1.665,3.994,1.998,55.735
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",78,2.968,11.628,3.41,65.049
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",79,1.635,3.974,1.993,52.386
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",80,1.943,4.993,2.235,77.351
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",81,2.324,7.598,2.756,82.057
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",82,2.55,9.384,3.063,84.302
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",83,3.119,14.458,3.802,93.734
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",84,3.435,17.077,4.132,98.166
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",85,3.301,15.521,3.94,95.38
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",86,3.893,20.826,4.564,104.395
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",87,4.242,23.923,4.891,110.043
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",88,3.765,18.988,4.358,103.034
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",89,4.017,20.985,4.581,109.153
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",90,2.992,11.843,3.441,93.383
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",91,2.093,6.496,2.549,71.013
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",92,1.779,4.992,2.234,52.051
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",93,2.016,6.11,2.472,69.286
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",94,2.088,6.386,2.527,73.805
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",95,2.04,6.081,2.466,72.516
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",96,3.554,15.892,3.986,110.153
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",97,3.906,18.654,4.319,117.419
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",98,4.942,28.826,5.369,130.389
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",99,5.075,29.808,5.46,133.402
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",100,4.299,21.636,4.651,126.206
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",101,6.012,39.937,6.32,149.713
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",102,6.249,42.286,6.503,154.441
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",103,3.216,12.767,3.573,102.06
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",104,1.947,5.215,2.284,66.4
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",105,2.752,9.733,3.12,84.394
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",106,2.684,9.241,3.04,82.396
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",107,2.399,7.47,2.733,74.964
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",108,1.633,3.629,1.905,54.95
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",109,1.523,3.172,1.781,46.897
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",110,1.173,2.556,1.599,35.536
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",111,1.166,2.483,1.576,34.922
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",112,1.445,3.606,1.899,41.697
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",113,1.484,3.688,1.92,42.257
weather,large,50,"(0, 1, 0)","(2, 0, 1, 24)",114,1.563,3.918,1.979,43.594
