,dataset,horizon,mae,mae,rmse,rmse,smape,smape
,,,mean,std,mean,std,mean,std
0,carbon,5,7.652,9.036,9.187,11.013,21.711,16.057
1,carbon,50,33.754,12.261,39.698,13.241,42.299,23.982
2,weather,5,2.343,2.058,2.732,2.285,51.292,43.198
3,weather,50,2.896,1.558,3.388,1.678,66.075,28.932
